1A,Sov Mil Order of Malta,246,^1A[A-Z0-9/]*$
3A,Monaco,260,^3A[A-Z0-9/]*$
4O,Montenegro,514,^4O[A-Z0-9/]*$
4U1I,ITU HQ,117,^4U[A-Z0-9/]*$
*4U1V,Vienna Intl Ctr,206,
9A,Croatia,497,^9A[A-Z0-9/]*$
9H,Malta,257,^9H[A-Z0-9/]*$
C3,Andorra,203,^C3[A-Z0-9/]*$
CT,Portugal,272,^C[Q-T][0-9]*[A-Z/]*$
CU,Azores,149,^(CQ1|CQ8|CR1|CR2|CR8|CS4|CS8|CT8|CU)[A-Z0-9/]*$
DL,Fed. Rep. of Germany,230,^(D[A-R]|Y[2-9])[A-Z0-9/]*$
E7,Bosnia-Herzegovina,501,^E7[A-Z0-9/]*$
EA,Spain,281,^(A[M-O]|E[A-H])[A-Z0-9/]*$
EA6,Balearic Islands,21,^(A[M-O]|E[A-H])6[A-Z0-9/]*$
EI,Ireland,245,^E[I-J][A-Z0-9/]*$
ER,Moldova,179,^ER[A-Z0-9/]*$
ES,Estonia,52,^ES[A-Z0-9/]*$
EU,Belarus,27,^E[U-W][A-Z0-9/]*$
F,France,227,^(F|H[X-Y]|TH|TM|T[O-Q]|TV|TX)[A-Z0-9/]*$
G,United Kingdom,223,^(2E|G|M)[A-Z0-9/]*$
GD,Isle of Man,114,^(2D|GD|GT|MD|MT)[A-Z0-9/]*$
GI,Northern Ireland,265,^(2I|GI|GN|MI|MN)[A-Z0-9/]*$
GJ,Jersey,122,^(2J|GH|GJ|MH|MJ)[A-Z0-9/]*$
GM,Scotland,279,^(2A|2M|GM|GS|MA|MM|MS)[A-Z0-9/]*$
*GM/s,Shetland Islands,279,
GU,Guernsey,106,^(2U|GP|GU|MP|MU)[A-Z0-9/]*$
GW,Wales,294,^(2W|GC|GW|MC|MW)[A-Z0-9/]*$
HA,Hungary,239,^(HA|HG)[A-Z0-9/]*$
HB,Switzerland,287,^(HB|HE)[A-Z0-9/]*$
HB0,Liechtenstein,251,^(HB0|HE0)[A-Z0-9/]*$
HV,Vatican City,295,^HV[A-Z0-9/]*$
I,Italy,248,^I[A-RU-Z][A-Z0-9/]*$
IS,Sardinia,225,^IS[A-Z0-9/]*$
*IT9,Sicily,248,^IT[A-Z0-9/]*$
JW,Svalbard,259,^JW[A-Z0-9/]*$
*JW/b,Bear Island,259,
JX,Jan Mayen,118,^JX[A-Z0-9/]*$
LA,Norway,266,^LA[A-Z0-9/]*$
LX,Luxembourg,254,^LX[A-Z0-9/]*$
LY,Lithuania,146,^LY[A-Z0-9/]*$
LZ,Bulgaria,212,^LZ[A-Z0-9/]*$
OE,Austria,206,^OE[A-Z0-9/]*$
OH,Finland,224,^OH[A-Z1-9/]*$
OH0,Aland Islands,5,^OH0[A-Z0-9/]*$
OJ0,Market Reef,167,^OJ0[A-Z0-9/]*$
OK,Czech Republic,503,^O[K-L][A-Z0-9/]*$
OM,Slovak Republic,504,^OM[A-Z0-9/]*$
ON,Belgium,209,^ON[A-Z0-9/]*$
OY,Faroe Islands,222,^OY[A-Z0-9/]*$
OZ,Denmark,221,^OZ[A-Z0-9/]*$
PA,Netherlands,263,^P[A-I][A-Z0-9/]*$
R1FJ,Franz Josef Land,61,^R1F[A-Z0-9/]*$
S5,Slovenia,499,^S5[A-Z0-9/]*$
SM,Sweden,284,^(S[A-M]|[7-8]S)[A-Z0-9/]*$
SP,Poland,269,^(3Z|HF|S[N-R])[A-Z0-9/]*$
SV,Greece,236,^(J4|S[V-Z])[A-Z0-9/]*$
SV/a,Mount Athos,180,
SV5,Dodecanese,45,^(J4|S[V-Z])5[A-Z0-9/]*$
SV9,Crete,40,^(J4|S[V-Z])9[A-Z0-9/]*$
T7,San Marino,278,^T7[A-Z0-9/]*$
*TA1,European Turkey,390,^(T[A-C]1|YM1)[A-Z0-9/]*$
TF,Iceland,242,^TF[A-Z0-9/]*$
TK,Corsica,214,^TK[A-Z0-9/]*$
UA,European Russia,54,^UA[A-Z0-9/]*$
UA2,Kaliningrad,126,^UA2[A-Z0-9/]*$
UR,Ukraine,288,^(E[M-O]|U[R-Z]|U5)[A-Z0-9/]*$
YL,Latvia,145,^YL[A-Z0-9/]*$
YO,Romania,275,^Y[O-R][A-Z0-9/]*$
YU,Serbia,296,^Y[T-U][A-Z0-9/]*$
Z3,North Macedonia,502,^Z3[A-Z0-9/]*$
Z6,Republic of Kosovo,522,^Z6[A-Z0-9/]*$
ZA,Albania,7,^ZA[A-Z0-9/]*$
ZB,Gibraltar,233,^Z(B|G)[A-Z0-9/]*$
